Respondent_ID,Full_Name,Age,Gender,City,Email_Address,Satisfaction_Rating,Purchase_Frequency,Join_Date,Last_Purchase_Date,Account_Status,Remarks,Membership_Length_Days,Is_Active,Custom
1365,Maria,20,F,Davao,user0 @yahoo.com,4,Weekly,3/28/2024,8/2/2024,Inactive,,127,0,"""51+"""
1382,Peter,35,M,Cagayan de Oro,user1 @gmail.com,5,Monthly,1/1/2024,5/1/2024,Inactive,,121,0,"""18–25"""
1322,Maria,25,Others,Cebu,user2 @yahoo.com,2,Monthly,3/3/2024,12/2/2024,Active,satisfied ,274,1,"""18–25"""
1476,Maria,21,F,Cagayan de Oro,user3@outlook.com,1,Weekly,5/14/2024,4/8/2024,Unknown,satisfied ,-36,0,"""51+"""
1098,Ana Marie,19,Others,Cagayan de Oro,user4 @yahoo.com,1,Weekly,9/1/2024,1/1/2024,Active,ok,-244,1,"""51+"""
1230,Maria,21,F,Cagayan de Oro,user5@yahoo.com,5,Weekly,3/19/2024,1/1/2024,Active,bad   ,-78,1,"""51+"""
1017,Maria,22,M,Manila,user6@outlook.com,5,Monthly,1/1/2024,6/8/2024,Active,,159,1,"""51+"""
1083,Maria,21,Others,Cagayan de Oro,user7 @outlook.com,3,Monthly,4/17/2024,2/10/2024,Unknown,,-67,0,"""51+"""
1106,Lizza,24,M,Cebu,user8@gmail.com,3,Monthly,1/25/2024,1/1/2024,Active,very good,-24,1,"""51+"""
1123,Peter,20,F,Manila,user9@yahoo.com,3,Weekly,1/6/2024,1/1/2024,Active,satisfied ,-5,1,"""51+"""
1057,Maria,21,M,Manila,user10@outlook.com,1,Monthly,12/4/2024,4/11/2024,Active,,-237,1,"""51+"""
1214,Peter,19,F,Manila,user11 @gmail.com,1,One-time,1/1/2024,5/27/2024,Active,ok,147,1,"""51+"""
1225,Maria,22,F,Cagayan de Oro,user12@outlook.com,5,Monthly,1/26/2024,3/24/2024,Deactivated,,58,0,"""51+"""
1096,Ana Marie,19,F,Cagayan de Oro,user13@yahoo.com,5,One-time,1/1/2024,1/3/2024,Deactivated,,2,0,"""51+"""
1113,Ana Marie,18,M,Cagayan de Oro,user14@outlook.com,1,One-Time,1/1/2024,1/18/2024,Unknown,bad   ,17,0,"""51+"""
1126,Marc Anthony,20,F,Cebu,user15@yahoo.com,5,Monthly,1/14/2024,10/4/2024,Unknown,ok,264,0,"""51+"""
1047,Maria,21,M,Manila,user16@outlook.com,5,Weekly,8/6/2024,4/9/2024,Active,good,-119,1,"""51+"""
1073,Liza,25,M,Manila,user17@outlook.com,1,Monthly,3/28/2024,2/1/2024,Inactive,,-56,0,"""18–25"""
1032,John Doe,35,Others,Others,user18@yahoo.com,5,Monthly,7/3/2024,2/20/2024,Active,,-134,1,"""18–25"""
1430,Peter,22,F,Manila,user19@gmail.com,5,Monthly,3/9/2024,1/1/2024,Active,good,-68,1,"""51+"""
1224,Lizza,35,F,Cagayan de Oro,user20 @outlook.com,1,One Time,1/1/2024,4/6/2024,Deactivated,ok,96,0,"""18–25"""
1111,Lizza,35,M,Others,user21@yahoo.com,2,Weekly,12/1/2024,12/3/2024,Inactive,satisfied ,2,0,"""18–25"""
1409,Mark Anthony,20,M,Manila,user22@yahoo.com,3,One-Time,2/8/2024,6/2/2024,Inactive,bad   ,115,0,"""51+"""
1339,Mark Anthony,25,F,Others,user23@yahoo.com,4,Weekly,5/14/2024,1/1/2024,Deactivated,,-134,0,"""18–25"""
1334,Marc Anthony,22,Others,Davao,user24@gmail.com,4,Monthly,6/2/2024,8/4/2024,Deactivated,satisfied ,63,0,"""51+"""
1253,John Doe,25,M,Cebu,user25@yahoo.com,2,Weekly,3/23/2024,3/1/2024,Active,,-22,1,"""18–25"""
1420,Peter,19,Others,Others,user26@gmail.com,3,One-time,8/5/2024,6/3/2024,Unknown,ok,-63,0,"""51+"""
1096,Peter,35,M,Others,user27 @outlook.com,5,One-Time,2/23/2024,6/13/2024,Unknown,ok,111,0,"""18–25"""
1208,Anna Marie,22,F,Cebu,user28@outlook.com,5,Monthly,4/16/2024,10/6/2024,Unknown,,173,0,"""51+"""
1068,Marc Anthony,35,M,Cagayan de Oro,user29@gmail.com,3,Weekly,3/15/2024,1/4/2024,Unknown,,-71,0,"""18–25"""
1305,Jhon Doe,35,M,Cebu,user30 @yahoo.com,5,Weekly,1/21/2024,4/21/2024,Unknown,very good,91,0,"""18–25"""
1311,Marc Anthony,35,M,Davao,user31 @gmail.com,5,One-time,2/1/2024,3/25/2024,Active,,53,1,"""18–25"""
1451,Peter,25,Others,Cebu,user32 @outlook.com,4,Monthly,5/15/2024,4/19/2024,Active,very good,-26,1,"""18–25"""
1002,Maria,22,Others,Cagayan de Oro,user33@gmail.com,4,Monthly,1/17/2024,1/1/2024,Unknown,very good,-16,0,"""51+"""
1340,Anna Marie,25,F,Davao,user34@outlook.com,1,Monthly,1/8/2024,4/23/2024,Active,good,106,1,"""18–25"""
1039,Maria,19,Others,Cagayan de Oro,user35@yahoo.com,4,One-time,1/1/2024,1/1/2024,Unknown,very good,0,0,"""51+"""
1322,Mark Anthony,35,M,Manila,user36@outlook.com,4,Weekly,2/4/2024,1/20/2024,Active,ok,-15,1,"""18–25"""
1084,Ana Marie,18,F,Cagayan de Oro,user37@gmail.com,4,One-Time,5/26/2024,3/4/2024,Active,,-83,1,"""51+"""
1047,John Doe,20,F,Cagayan de Oro,user38@yahoo.com,4,Monthly,2/12/2024,4/18/2024,Active,,66,1,"""51+"""
